0,1,2,3,4,5,6,7,8,9,10,date
30,RNDR Render,RNDR,"$3,496,198,349.73",$9.0935,384.472.335 RNDR *,"$164,117,321.17","0,25%","1,39%","1,55%",,2024_04_21
31,CRO Cronos,CRO,"$3,429,362,814.30",$0.1291,26.571.560.696 CRO *,"$11,515,416.31","-0,10%","-1,30%","-3,01%",,2024_04_21
32,ATOM Cosmos,ATOM,"$3,416,973,802.14",$8.7406,390.930.671 ATOM *,"$116,558,341.48",<0.01%,"0,74%","4,53%",,2024_04_21
33,XLM Stellar,XLM,"$3,291,624,666.69",$0.1139,28.910.604.650 XLM *,"$57,864,227.61","-0,29%","-1,77%","2,79%",,2024_04_21
34,OKB OKB,OKB,"$3,297,253,404.56",$54.95,60.000.000 OKB *,"$7,063,126.45","-0,26%","-1,83%","2,85%",,2024_04_21
35,IMX Immutable,IMX,"$3,173,263,394.77",$2.1782,1.456.815.249 IMX *,"$50,248,972.22","-0,41%","-1,30%","0,16%",,2024_04_21
36,HBAR Hedera,HBAR,"$3,173,013,073.27",$0.08878,35.741.578.541 HBAR *,"$50,423,620.37","-0,09%","2,16%","6,18%",,2024_04_21
37,ARB Arbitrum,ARB,"$3,155,413,890.93",$1.1890,2.653.939.384 ARB *,"$195,862,309.80","-0,15%","-2,14%","0,69%",,2024_04_21
38,TAO Bittensor,TAO,"$3,151,477,864.97",$475.20,6.631.933 TAO *,"$28,480,469.70","-0,62%","-2,14%","-19,13%",,2024_04_21
39,VET VeChain,VET,"$2,999,822,135.88",$0.04125,72.714.516.834 VET *,"$63,989,423.62","-0,57%","-2,65%","-4,00%",,2024_04_21
40,WIF dogwifhat,WIF,"$2,921,257,198.58",$2.9245,998.906.156 WIF *,"$406,692,743.82","-0,22%","-3,55%","-4,19%",,2024_04_21
41,MKR Maker,MKR,"$2,780,282,905.14","$3,006.63",924.717 MKR *,"$80,644,112.30","0,45%","-3,57%","-1,18%",,2024_04_21
42,KAS Kaspa,KAS,"$2,739,779,395.86",$0.117,23.407.781.067 KAS,"$37,896,708.21","0,01%","-2,00%","-4,83%",,2024_04_21
43,GRT The Graph,GRT,"$2,668,507,975.07",$0.2814,9.482.506.385 GRT *,"$77,144,177.93","-0,45%","-3,50%","8,31%",,2024_04_21
44,INJ Injective,INJ,"$2,637,560,443.64",$28.24,93.400.000 INJ *,"$89,914,847.93","-0,11%","-5,02%","8,33%",,2024_04_21
45,OP Optimism,OP,"$2,552,931,821.97",$2.4421,1.045.379.867 OP *,"$165,193,529.81","-0,04%","-2,56%","4,85%",,2024_04_21
46,PEPE Pepe,PEPE,"$2,506,089,391.40",$0.00000596,420.689.899.999.995 PEPE *,"$743,415,330.62","0,59%","2,66%","9,58%",,2024_04_21
47,THETA Theta Network,THETA,"$2,249,808,800.06",$2.2498,1.000.000.000 THETA *,"$46,708,255.75","0,02%","-3,04%","3,83%",,2024_04_21
48,XMR Monero,XMR,"$2,186,292,020.97",$118.65,18.426.691 XMR,"$42,316,808.80","0,17%","-2,88%","-2,37%",,2024_04_21
49,CORE Core,CORE,"$2,180,862,534.90",$2.4716,882.350.922 CORE,"$232,497,899.65","-0,31%","13,57%","67,12%",,2024_04_21
50,AR Arweave,AR,"$2,145,956,843.75",$32.79,65.454.185 AR *,"$85,851,768.97","-0,67%","1,14%","15,04%",,2024_04_21
51,FTM Fantom,FTM,"$2,093,460,525.04",$0.7467,2.803.634.836 FTM *,"$131,418,830.85","-0,34%","-2,10%","4,89%",,2024_04_21
52,FET Fetch.ai,FET,"$2,051,192,876.73",$2.4177,848.420.011 FET *,"$245,298,942.35","-0,18%","-2,88%","8,71%",,2024_04_21
53,TIA Celestia,TIA,"$2,059,909,583.00",$11.51,178.961.336 TIA *,"$143,035,369.11","0,48%","-3,54%","9,01%",,2024_04_21
54,RUNE THORChain,RUNE,"$1,881,730,336.94",$5.6137,335.201.530 RUNE *,"$260,910,910.23","-0,55%","-0,52%","3,92%",,2024_04_21
55,LDO Lido DAO,LDO,"$1,858,014,577.88",$2.0836,891.734.113 LDO *,"$43,088,132.67","-0,25%","-1,07%","-1,46%",,2024_04_21
56,BGB Bitget Token,BGB,"$1,793,305,994.87",$1.2809,1.400.000.000 BGB *,"$29,829,212.22","0,30%","0,64%","6,13%",,2024_04_21
57,SUI Sui,SUI,"$1,775,090,018.25",$1.3698,1.295.901.469 SUI *,"$173,849,768.41","-0,46%","-4,13%","14,34%",,2024_04_21
58,SEI Sei,SEI,"$1,646,949,774.39",$0.5882,2.800.000.000 SEI *,"$98,617,967.56","-0,06%","-2,34%","7,99%",,2024_04_21
59,FLOKI FLOKI,FLOKI,"$1,634,452,498.53",$0.0001708,9.568.201.206.039 FLOKI *,"$279,138,297.18","-1,10%","2,79%","13,43%",,2024_04_21
60,BEAM Beam,BEAM,"$1,612,562,040.08",$0.03045,52.965.667.246 BEAM *,"$16,659,845.95","-0,60%","-1,04%","12,20%",,2024_04_21
61,JUP Jupiter,JUP,"$1,556,469,393.81",$1.1529,1.350.000.000 JUP *,"$154,018,331.08","-0,29%","-2,68%","4,33%",,2024_04_21
62,ALGO Algorand,ALGO,"$1,523,576,361.10",$0.1874,8.130.134.817 ALGO *,"$39,829,153.94","-0,27%","-2,19%","4,37%",,2024_04_21
63,ENA Ethena,ENA,"$1,497,408,511.08",$1.0508,1.425.000.000 ENA *,"$374,961,943.82","0,13%","-3,10%","-13,01%",,2024_04_21
64,GALA Gala,GALA,"$1,482,967,953.36",$0.04886,30.348.537.501 GALA *,"$141,868,049.95","-0,10%","-1,66%","10,94%",,2024_04_21
65,PENDLE Pendle,PENDLE,"$1,408,172,516.01",$5.8874,239.185.588 PENDLE *,"$71,032,213.50","-0,31%","-6,24%","-13,84%",,2024_04_21
66,FLOW Flow,FLOW,"$1,390,978,372.50",$0.9262,1.501.883.814 FLOW *,"$38,648,658.85","-0,28%","-1,79%","-0,73%",,2024_04_21
67,NEO Neo,NEO,"$1,358,335,913.36",$19.26,70.538.831 NEO *,"$233,968,083.11","-0,36%","1,92%","-7,88%",,2024_04_21
68,BSV Bitcoin SV,BSV,"$1,372,801,805.32",$69.72,19.691.147 BSV,"$40,695,164.69","-0,57%","-1,86%","-1,77%",,2024_04_21
69,BONK Bonk,BONK,"$1,359,066,825.04",$0.00002085,65.191.332.386.576 BONK *,"$437,404,811.70","-0,33%","6,76%","28,32%",,2024_04_21
70,AAVE Aave,AAVE,"$1,347,738,241.53",$91.02,14.806.327 AAVE *,"$64,791,756.23","-0,09%","-0,82%","3,31%",,2024_04_21
71,FLR Flare,FLR,"$1,295,858,838.37",$0.03356,38.612.784.529 FLR *,"$10,044,946.27","0,27%","-1,66%","-0,38%",,2024_04_21
72,QNT Quant,QNT,"$1,283,342,043.48",$106.30,12.072.738 QNT *,"$13,140,093.92","0,17%","-3,12%","1,40%",,2024_04_21
73,BTT BitTorrent (New),BTT,"$1,272,227,967.95",$0.00000131,968.246.428.571.000 BTT *,"$29,803,994.10","-0,20%","-0,20%","-1,52%",,2024_04_21
74,AGIX SingularityNET,AGIX,"$1,256,579,344.84",$0.9801,1.282.094.972 AGIX *,"$108,161,413.29","-0,29%","-1,98%","11,00%",,2024_04_21
75,EGLD MultiversX,EGLD,"$1,163,807,659.41",$43.35,26.845.871 EGLD *,"$18,151,619.54","-0,34%","-2,52%","5,23%",,2024_04_21
76,ONDO Ondo,ONDO,"$1,127,043,733.76",$0.811,1.389.759.838 ONDO *,"$193,075,388.54","-0,47%","-1,63%","-9,59%",,2024_04_21
77,W Wormhole,W,"$1,105,158,461.62",$0.614,1.800.000.000 W *,"$114,347,629.61","-0,07%","-6,60%","-13,72%",,2024_04_21
78,DYDX dYdX (Native),DYDX,"$1,086,833,206.65",$2.3389,464.677.529 DYDX *,"$5,742,233.51","-0,29%","-2,79%","7,87%",,2024_04_21
79,AXS Axie Infinity,AXS,"$1,084,356,190.98",$7.5604,143.425.294 AXS *,"$36,851,695.34","-0,39%","-1,04%","3,10%",,2024_04_21
80,RON Ronin,RON,"$1,071,255,103.02",$3.3958,315.464.182 RON *,"$11,884,728.28","-0,12%","-1,02%","4,09%",,2024_04_21
81,SAND The Sandbox,SAND,"$1,068,579,262.54",$0.4746,2.251.731.926 SAND *,"$74,430,367.89","-0,55%","-1,70%","6,66%",,2024_04_21
82,WLD Worldcoin,WLD,"$1,060,221,462.81",$5.5361,191.510.803 WLD *,"$273,390,563.40","0,55%","-1,59%","7,60%",,2024_04_21
83,XEC eCash,XEC,"$1,061,038,716.51",$0.00005388,19.691.173.423.092 XEC *,"$32,265,716.16","-0,30%","-1,59%","-5,54%",,2024_04_21
84,CHZ Chiliz,CHZ,"$1,031,200,525.24",$0.116,8.888.289.967 CHZ *,"$50,156,771.57","-0,72%","-1,95%","7,65%",,2024_04_21
85,ORDI ORDI,ORDI,"$1,027,248,690.09",$48.92,21.000.000 ORDI *,"$174,852,404.03","-0,38%","-4,57%","2,17%",,2024_04_21
86,XTZ Tezos,XTZ,"$1,019,234,689.03",$1.0412,978.942.947 XTZ *,"$25,094,283.54","-0,25%","-3,61%","-0,75%",,2024_04_21
87,SNX Synthetix,SNX,"$1,002,230,642.31",$3.0577,327.769.196 SNX *,"$23,439,112.31","-0,48%","-2,06%","2,77%",,2024_04_21
88,JASMY JasmyCoin,JASMY,"$991,750,967.97",$0.02012,49.299.999.677 JASMY *,"$79,099,820.98","-0,07%","1,99%","2,84%",,2024_04_21
89,PYTH Pyth Network,PYTH,"$990,621,967.24",$0.6604,1.499.989.004 PYTH *,"$61,400,730.53","-0,43%","-1,70%","7,88%",,2024_04_21
90,CFX Conflux,CFX,"$976,033,098.77",$0.2476,3.942.392.138 CFX,"$39,946,075.32","-0,43%","-3,97%","-1,04%",,2024_04_21
91,STRK Starknet,STRK,"$955,659,255.78",$1.3127,728.000.000 STRK *,"$83,746,402.93","-0,62%","-2,69%","-11,66%",,2024_04_21
92,AKT Akash Network,AKT,"$948,487,519.60",$4.0487,234.268.743 AKT *,"$3,960,223.32","-0,45%","-2,21%","5,68%",,2024_04_21
93,GNO Gnosis,GNO,"$934,516,032.14",$360.87,2.589.588 GNO *,"$18,514,005.99","-0,25%","1,07%","7,36%",,2024_04_21
94,KCS KuCoin Token,KCS,"$932,374,818.88",$9.6988,96.132.689 KCS *,"$1,692,163.52","-0,10%","4,96%","9,51%",,2024_04_21
95,MINA Mina,MINA,"$923,883,860.58",$0.8472,1.090.468.817 MINA *,"$21,524,718.06","-0,58%","-2,68%","5,97%",,2024_04_21
96,EOS EOS,EOS,"$912,315,245.54",$0.8119,1.123.690.317 EOS *,"$92,310,924.06","-0,31%","-1,43%","4,71%",,2024_04_21
97,MANA Decentraland,MANA,"$883,349,379.03",$0.4629,1.908.319.865 MANA *,"$44,765,369.17","-0,30%","-1,62%","4,34%",,2024_04_21
98,CKB Nervos Network,CKB,"$871,472,569.10",$0.0198,44.004.158.152 CKB,"$72,017,015.71","-0,18%","-11,13%","-24,06%",,2024_04_21
99,AIOZ AIOZ Network,AIOZ,"$811,616,458.25",$0.7458,1.088.198.424 AIOZ *,"$5,734,420.39","-0,06%","8,96%","12,45%",,2024_04_21
100,AXL Axelar,AXL,"$781,798,229.05",$1.2298,635.695.645 AXL *,"$15,422,190.16","0,02%","-3,72%","9,22%",,2024_04_21
101,APE ApeCoin,APE,"$777,686,400.20",$1.2857,604.895.833 APE *,"$40,497,703.98","-0,17%","-2,34%","4,75%",,2024_04_21
102,KAVA Kava,KAVA,"$769,047,509.56",$0.7102,1.082.860.622 KAVA *,"$20,190,621.14","-0,20%","-1,76%","5,03%",,2024_04_21
103,IOTA IOTA,IOTA,"$767,458,141.68",$0.2376,3.229.505.319 IOTA *,"$14,403,064.51","-0,60%","-2,48%","-1,10%",,2024_04_21
104,CAKE PancakeSwap,CAKE,"$727,235,482.54",$2.9129,249.663.210 CAKE *,"$34,330,469.48","-0,42%","-0,48%","3,41%",,2024_04_21
105,KLAY Klaytn,KLAY,"$723,605,484.08",$0.1996,3.624.707.540 KLAY *,"$11,878,301.61","-0,22%","-0,40%","4,57%",,2024_04_21
106,1000SATS SATS,1000SATS,"$713,700,928.36",$0.0003399,2.100.000.000.000 1000SATS *,"$74,498,671.83","-0,37%","-9,96%","9,35%",,2024_04_21
107,USDD USDD,USDD,"$714,561,837.82",$0.9852,725.332.034 USDD *,"$6,731,601.92","0,04%","0,56%","-1,01%",,2024_04_21
108,NEXO Nexo,NEXO,"$708,480,209.95",$1.2651,560.000.011 NEXO *,"$3,537,567.55","-0,03%","-1,40%","-3,42%",,2024_04_21
109,ROSE Oasis Network,ROSE,"$687,884,231.80",$0.1025,6.713.599.876 ROSE *,"$18,078,708.15","-0,27%","-3,01%","7,85%",,2024_04_21
110,PRIME Echelon Prime,PRIME,"$685,934,433.19",$19.17,35.773.841 PRIME *,"$5,098,539.05","-0,27%","-7,25%","-11,42%",,2024_04_21
111,GT GateToken,GT,"$677,376,813.38",$7.0214,96.472.749 GT *,"$5,352,851.73","-0,36%","-1,26%","-2,88%",,2024_04_21
112,ETHDYDX dYdX (ethDYDX),ETHDYDX,"$647,618,663.22",$2.3300,277.949.551 ETHDYDX *,"$27,734,746.05","-0,40%","-3,03%","7,49%",,2024_04_21
113,BLUR Blur,BLUR,"$646,338,512.78",$0.4156,1.555.025.656 BLUR *,"$35,814,378.83","-0,14%","-2,74%","-1,36%",,2024_04_21
114,BTG Bitcoin Gold,BTG,"$644,473,012.65",$36.80,17.513.924 BTG,"$6,235,969.21","-0,58%","-2,39%","-4,31%",,2024_04_21
115,HNT Helium,HNT,"$637,485,088.72",$3.9626,160.875.442 HNT,"$11,607,536.32","-0,24%","-5,03%","-12,77%",,2024_04_21
116,ASTR Astar,ASTR,"$633,015,352.11",$0.1124,5.632.673.716 ASTR *,"$17,271,213.58","-0,26%","0,31%","8,54%",,2024_04_21
117,TFUEL Theta Fuel,TFUEL,"$636,936,151.03",$0.09766,6.521.745.100 TFUEL *,"$40,450,292.76","0,55%","2,75%","12,11%",,2024_04_21
118,OSMO Osmosis,OSMO,"$632,740,982.91",$0.9645,656.013.396 OSMO *,"$16,535,296.57","-0,16%","-1,08%","-0,13%",,2024_04_21
119,LUNC Terra Classic,LUNC,"$629,161,155.21",$0.0001081,5.818.524.225.217 LUNC *,"$26,164,033.84","-0,17%","-1,70%","5,02%",,2024_04_21
120,RBN Ribbon Finance,RBN,"$627,316,963.08",$1.1680,537.093.440 RBN *,"$6,902,511.94","-0,19%","5,76%","-4,98%",,2024_04_21
121,BOME BOOK OF MEME,BOME,"$589,466,602.04",$0.01068,55.199.727.655 BOME *,"$250,203,346.89","0,56%","-3,02%","13,06%",,2024_04_21
122,DYM Dymension,DYM,"$585,690,297.03",$4.0116,146.000.000 DYM *,"$10,980,353.88","-0,52%","-3,19%","5,61%",,2024_04_21
123,XAUt Tether Gold,XAUt,"$588,593,174.53","$2,387.57",246.524 XAUt *,"$3,364,578.98","0,09%","-0,27%","-0,03%",,2024_04_21
124,OCEAN Ocean Protocol,OCEAN,"$575,973,188.39",$1.0134,568.381.103 OCEAN *,"$34,190,006.13","-0,52%","-0,60%","12,09%",,2024_04_21
125,WOO WOO,WOO,"$574,097,314.50",$0.3095,1.854.762.014 WOO *,"$10,190,909.08","-0,67%","-1,75%","3,51%",,2024_04_21
126,XRD Radix,XRD,"$564,590,989.39",$0.05414,10.428.354.604 XRD *,"$2,393,778.19","-0,25%","-1,82%","-8,04%",,2024_04_21
127,IOTX IoTeX,IOTX,"$560,373,288.56",$0.05935,9.441.378.955 IOTX *,"$15,737,133.91","-0,48%","0,18%","9,88%",,2024_04_21
128,OM MANTRA,OM,"$551,543,234.15",$0.6946,793.991.274 OM *,"$26,871,866.73","0,29%","-4,76%","-4,08%",,2024_04_21
129,WEMIX WEMIX,WEMIX,"$548,535,444.23",$1.5379,356.680.595 WEMIX *,"$2,408,652.97",<0.01%,"0,66%","2,51%",,2024_04_21
130,CRV Curve DAO Token,CRV,"$539,384,220.60",$0.4532,1.190.254.410 CRV *,"$37,201,771.43","-0,39%","-1,97%","0,21%",,2024_04_21
131,XDC XDC Network,XDC,"$540,534,422.98",$0.03886,13.910.136.636 XDC *,"$5,128,727.04","0,23%","-2,00%","3,42%",,2024_04_21
132,SUPER SuperVerse,SUPER,"$523,574,352.37",$1.0734,487.776.093 SUPER *,"$10,169,493.36","-0,24%","-2,85%","3,73%",,2024_04_21
133,SKL SKALE,SKL,"$514,827,389.94",$0.09643,5.339.102.671 SKL *,"$30,255,938.27","-0,51%","-1,42%","3,13%",,2024_04_21
134,TUSD TrueUSD,TUSD,"$510,016,025.82",$1.0006,509.701.467 TUSD *,"$37,429,126.75","0,08%","-0,07%","0,09%",,2024_04_21
135,DEXE DeXe,DEXE,"$502,768,712.78",$13.77,36.500.047 DEXE *,"$4,102,649.81","0,16%","-0,92%","9,11%",,2024_04_21
136,1INCH 1inch Network,1INCH,"$495,772,461.50",$0.4284,1.157.180.762 1INCH *,"$22,176,101.63","-0,29%","-3,15%","2,42%",,2024_04_21
137,LPT Livepeer,LPT,"$486,270,337.79",$15.26,31.860.540 LPT *,"$42,982,063.72","0,23%","-4,73%","26,08%",,2024_04_21
138,MANTA Manta Network,MANTA,"$483,998,155.60",$1.9283,251.000.000 MANTA *,"$34,856,375.65","-0,47%","-2,80%","-8,60%",,2024_04_21
139,MEW cat in a dogs world,MEW,"$492,028,064.51",$0.005535,88.888.888.888 MEW *,"$100,410,608.67","0,49%","13,02%","29,48%",,2024_04_21
140,GMT GMT,GMT,"$483,184,291.49",$0.25,1.932.987.363 GMT *,"$35,234,018.28","-0,40%","-2,27%","-4,50%",,2024_04_21
141,ANKR Ankr,ANKR,"$482,034,056.18",$0.0482,10.000.000.000 ANKR *,"$30,292,296.74","-0,37%","-1,25%","10,12%",,2024_04_21
142,COMP Compound,COMP,"$476,126,909.91",$58.70,8.111.270 COMP *,"$21,264,082.29","-0,39%","-0,49%","6,72%",,2024_04_21
143,TWT Trust Wallet Token,TWT,"$474,167,309.23",$1.1380,416.649.900 TWT *,"$11,764,461.31","-0,16%","0,00%","3,57%",,2024_04_21
144,ENJ Enjin Coin,ENJ,"$470,668,615.28",$0.3411,1.379.841.766 ENJ *,"$17,105,270.78","-0,22%","-3,55%","1,40%",,2024_04_21
145,RPL Rocket Pool,RPL,"$471,313,396.14",$23.23,20.292.985 RPL *,"$4,274,763.67","-0,19%","0,09%","8,04%",,2024_04_21
146,LUNA Terra,LUNA,"$467,284,112.40",$0.6502,718.689.135 LUNA *,"$32,147,027.46","-0,32%","-2,51%","3,88%",,2024_04_21
147,ENS Ethereum Name Service,ENS,"$466,112,735.26",$14.95,31.179.102 ENS *,"$19,264,148.15","-0,06%","-2,72%","6,58%",,2024_04_21
148,ZRX 0x Protocol,ZRX,"$466,316,223.18",$0.5502,847.496.055 ZRX *,"$41,746,179.89","0,08%","-0,26%","9,63%",,2024_04_21
149,FTT FTX Token,FTT,"$468,378,548.82",$1.4241,328.895.104 FTT *,"$14,187,896.75","-0,01%","2,49%","9,54%",,2024_04_21
150,JTO Jito,JTO,"$462,317,904.69",$3.8279,120.777.242 JTO *,"$170,269,762.96","-0,05%","1,74%","26,60%",,2024_04_21
151,NFT APENFT,NFT,"$465,200,548.91",$0.00000047,990.105.682.877.398 NFT *,"$18,145,003.46","-0,23%","-0,21%","-0,82%",,2024_04_21
152,ETHFI ether.fi,ETHFI,"$460,059,396.56",$3.9936,115.200.000 ETHFI *,"$108,545,593.17","-0,41%","-3,20%","-5,58%",,2024_04_21
153,ALT Altlayer,ALT,"$459,957,751.28",$0.4181,1.100.000.000 ALT *,"$39,332,934.08","-0,30%","-3,67%","-4,10%",,2024_04_21
154,MX MX TOKEN,MX,"$460,105,989.06",$4.6774,98.368.834 MX *,"$24,164,726.42","-3,55%","-9,89%","-11,10%",,2024_04_21
155,GAL Galxe,GAL,"$451,253,477.76",$4.2852,105.305.665 GAL *,"$22,200,382.91","0,30%","4,13%","11,59%",,2024_04_21
156,CELO Celo,CELO,"$451,363,960.13",$0.8455,533.817.831 CELO *,"$17,048,036.73","-0,32%","-2,31%","4,12%",,2024_04_21
157,ZIL Zilliqa,ZIL,"$449,160,023.12",$0.02586,17.372.203.179 ZIL,"$18,771,090.12","-0,55%","-2,04%","2,82%",,2024_04_21
158,SC Siacoin,SC,"$452,009,448.62",$0.00793,57.000.425.276 SC,"$42,988,826.16","0,34%","6,82%","6,99%",,2024_04_21
159,RAY Raydium,RAY,"$443,628,594.27",$1.6884,262.744.893 RAY *,"$16,479,717.13","-0,25%","0,17%","10,31%",,2024_04_21
160,QTUM Qtum,QTUM,"$440,227,696.59",$4.2024,104.755.842 QTUM *,"$61,824,080.35","-0,73%","-0,21%","-1,01%",,2024_04_21
161,HOT Holo,HOT,"$441,075,719.33",$0.002546,173.239.038.783 HOT *,"$12,469,217.38","-0,70%","-0,91%","9,06%",,2024_04_21
162,ARKM Arkham,ARKM,"$440,382,884.32",$2.1524,204.600.000 ARKM *,"$151,870,917.56","0,43%","6,20%","36,11%",,2024_04_21
163,ETHW EthereumPoW,ETHW,"$439,125,486.76",$4.0728,107.818.999 ETHW *,"$23,006,675.03","-0,46%","-5,33%","7,45%",,2024_04_21
164,PAXG PAX Gold,PAXG,"$435,950,952.61","$2,376.44",183.447 PAXG *,"$8,187,864.80","-0,15%","-0,57%","-0,77%",,2024_04_21
165,RVN Ravencoin,RVN,"$434,415,512.21",$0.03158,13.757.966.482 RVN,"$46,856,927.25","-0,51%","-3,34%","0,34%",,2024_04_21
166,ID SPACE ID,ID,"$427,542,485.16",$0.8294,515.500.876 ID *,"$98,627,930.14","-0,52%","-0,54%","16,68%",,2024_04_21
167,ELF aelf,ELF,"$418,262,805.16",$0.5757,726.537.296 ELF *,"$7,494,397.68","-0,01%","-0,61%","0,48%",,2024_04_21
168,POLYX Polymesh,POLYX,"$404,586,737.52",$0.4797,843.492.920 POLYX *,"$69,799,444.24","-0,69%","1,83%","1,99%",,2024_04_21
169,GLM Golem,GLM,"$404,678,270.31",$0.4047,1.000.000.000 GLM *,"$12,592,671.16","-0,19%","0,09%","4,01%",,2024_04_21
170,SSV ssv.network,SSV,"$404,734,442.27",$40.47,10.000.000 SSV,"$15,595,072.22","-0,15%","-2,21%","3,70%",,2024_04_21
171,TRAC OriginTrail,TRAC,"$396,909,247.92",$0.9792,405.356.579 TRAC *,"$2,543,696.29",<0.01%,"0,65%","0,23%",,2024_04_21
172,FXS Frax Share,FXS,"$395,968,227.71",$5.0095,79.043.981 FXS *,"$12,841,649.72","-0,63%","-4,51%","-2,44%",,2024_04_21
173,BICO Biconomy,BICO,"$393,861,604.90",$0.5449,722.758.758 BICO *,"$14,352,121.36","-0,42%","-0,50%","-1,78%",,2024_04_21
