rank,name,symbol,market_cap,price,circulating_supply,volume_24h,%1h,%7h,%24h,date
1,Bitcoin,BTC,1278296008665.18,64926.64,6492664.0,20506644853.02,-0.2,-0.1,-1.24,2024-04-21
2,Ethereum,ETH,377899123113.35,3147.29,314729.0,9394387894.31,-0.3,-0.33,-0.31,2024-04-21
3,Tether USDt,USDT,109857607038.34,1.0002,10002.0,40914266459.98,0.01,-0.02,-0.09,2024-04-21
4,BNB,BNB,86672374451.12,579.62,57962.0,782061075.6,-0.08,1.52,2.19,2024-04-21
5,Solana,SOL,66417713293.18,148.61,14861.0,2211663290.99,-0.46,-1.67,-1.77,2024-04-21
6,USDC,USDC,33943490879.04,1.0,10000.0,4622993535.93,0.01,-0.01,-0.03,2024-04-21
7,XRP,XRP,28925167432.6,0.5247,5247.0,896875432.55,-0.27,-0.87,4.05,2024-04-21
8,Dogecoin,DOGE,22786527781.65,0.1583,1583.0,1293159345.73,-0.42,-2.8,-2.48,2024-04-21
9,Toncoin,TON,21327224325.21,6.144,61440.0,208390924.15,0.03,-1.18,-9.15,2024-04-21
10,Cardano,ADA,17787098898.0,0.4993,4993.0,354417376.98,-0.21,-1.31,6.48,2024-04-21
11,Shiba Inu,SHIB,15492622897.09,2.629e-05,2629.0,1219703165.5,-0.51,0.02,15.66,2024-04-21
12,Avalanche,AVAX,14030181656.37,37.12,3712.0,351138121.95,-0.16,-3.09,-0.53,2024-04-21
13,Polkadot,DOT,10246380636.52,7.135,71350.0,149501379.3,-0.13,-1.37,3.87,2024-04-21
14,Bitcoin Cash,BCH,9897170531.55,502.52,50252.0,333859362.19,-0.48,-2.53,-4.81,2024-04-21
15,TRON,TRX,9753379839.56,0.1113,1113.0,202407396.44,-0.07,0.2,-1.11,2024-04-21
16,Chainlink,LINK,8853709387.69,15.08,1508.0,253842937.35,1.14,0.77,6.8,2024-04-21
17,Polygon,MATIC,7058863762.23,0.7134,7134.0,232353520.54,-0.28,-3.35,0.17,2024-04-21
18,Internet Computer,ICP,6991010641.34,15.1,1510.0,158894963.52,-0.82,-2.74,17.1,2024-04-21
19,NEAR Protocol,NEAR,6866541114.61,6.45,64500.0,362734595.83,0.69,3.62,12.83,2024-04-21
20,Litecoin,LTC,6265981029.68,84.17,8417.0,297434668.81,-0.38,-1.09,5.32,2024-04-21
21,Dai,DAI,5348789838.39,1.0002,10002.0,343513150.67,0.0,0.0,-0.01,2024-04-21
22,UNUS SED LEO,LEO,5338586735.15,5.7617,57617.0,1076826.94,0.01,-0.02,-4.01,2024-04-21
23,Uniswap,UNI,4624605576.99,7.7239,77239.0,93509205.13,-0.24,-1.91,2.71,2024-04-21
24,Aptos,APT,4256026309.35,9.9973,99973.0,118014807.4,0.21,-2.39,4.6,2024-04-21
25,Stacks,STX,4059598017.34,2.7926,27926.0,138035352.01,0.15,2.73,1.87,2024-04-21
26,Ethereum Classic,ETC,4026136926.7,27.45,2745.0,156320138.62,-0.5,-1.59,1.5,2024-04-21
27,Mantle,MNT,3884640613.94,1.19,11900.0,43135467.0,-0.6,-0.24,3.07,2024-04-21
28,First Digital USD,FDUSD,3588931613.88,1.0,10000.0,5375919113.95,0.01,0.0,-0.13,2024-04-21
29,Filecoin,FIL,3510315688.75,6.4764,64764.0,181448114.8,-0.29,-2.65,5.07,2024-04-21
30,Render,RNDR,3496198349.73,9.0935,90935.0,164117321.17,0.25,1.39,1.55,2024-04-21
31,Cronos,CRO,3429362814.3,0.1291,1291.0,11515416.31,-0.1,-1.3,-3.01,2024-04-21
32,Cosmos,ATOM,3416973802.14,8.7406,87406.0,116558341.48,0.01,0.74,4.53,2024-04-21
33,Stellar,XLM,3291624666.69,0.1139,1139.0,57864227.61,-0.29,-1.77,2.79,2024-04-21
34,OKB,OKB,3297253404.56,54.95,5495.0,7063126.45,-0.26,-1.83,2.85,2024-04-21
35,Immutable,IMX,3173263394.77,2.1782,21782.0,50248972.22,-0.41,-1.3,0.16,2024-04-21
36,Hedera,HBAR,3173013073.27,0.08878,8878.0,50423620.37,-0.09,2.16,6.18,2024-04-21
37,Arbitrum,ARB,3155413890.93,1.189,11890.0,195862309.8,-0.15,-2.14,0.69,2024-04-21
38,Bittensor,TAO,3151477864.97,475.2,47520.0,28480469.7,-0.62,-2.14,-19.13,2024-04-21
39,VeChain,VET,2999822135.88,0.04125,4125.0,63989423.62,-0.57,-2.65,-4.0,2024-04-21
40,dogwifhat,WIF,2921257198.58,2.9245,29245.0,406692743.82,-0.22,-3.55,-4.19,2024-04-21
41,Maker,MKR,2780282905.14,3006.63,300663.0,80644112.3,0.45,-3.57,-1.18,2024-04-21
42,Kaspa,KAS,2739779395.86,0.117,117.0,37896708.21,0.01,-2.0,-4.83,2024-04-21
43,The Graph,GRT,2668507975.07,0.2814,2814.0,77144177.93,-0.45,-3.5,8.31,2024-04-21
44,Injective,INJ,2637560443.64,28.24,2824.0,89914847.93,-0.11,-5.02,8.33,2024-04-21
45,Optimism,OP,2552931821.97,2.4421,24421.0,165193529.81,-0.04,-2.56,4.85,2024-04-21
46,Pepe,PEPE,2506089391.4,5.96e-06,596.0,743415330.62,0.59,2.66,9.58,2024-04-21
47,Theta Network,THETA,2249808800.06,2.2498,22498.0,46708255.75,0.02,-3.04,3.83,2024-04-21
48,Monero,XMR,2186292020.97,118.65,11865.0,42316808.8,0.17,-2.88,-2.37,2024-04-21
49,Core,CORE,2180862534.9,2.4716,24716.0,232497899.65,-0.31,13.57,67.12,2024-04-21
50,Arweave,AR,2145956843.75,32.79,3279.0,85851768.97,-0.67,1.14,15.04,2024-04-21
51,Fantom,FTM,2093460525.04,0.7467,7467.0,131418830.85,-0.34,-2.1,4.89,2024-04-21
52,Fetch.ai,FET,2051192876.73,2.4177,24177.0,245298942.35,-0.18,-2.88,8.71,2024-04-21
53,Celestia,TIA,2059909583.0,11.51,1151.0,143035369.11,0.48,-3.54,9.01,2024-04-21
54,THORChain,RUNE,1881730336.94,5.6137,56137.0,260910910.23,-0.55,-0.52,3.92,2024-04-21
55,Lido DAO,LDO,1858014577.88,2.0836,20836.0,43088132.67,-0.25,-1.07,-1.46,2024-04-21
56,Bitget Token,BGB,1793305994.87,1.2809,12809.0,29829212.22,0.3,0.64,6.13,2024-04-21
57,Sui,SUI,1775090018.25,1.3698,13698.0,173849768.41,-0.46,-4.13,14.34,2024-04-21
58,Sei,SEI,1646949774.39,0.5882,5882.0,98617967.56,-0.06,-2.34,7.99,2024-04-21
59,FLOKI,FLOKI,1634452498.53,0.0001708,1708.0,279138297.18,-1.1,2.79,13.43,2024-04-21
60,Beam,BEAM,1612562040.08,0.03045,3045.0,16659845.95,-0.6,-1.04,12.2,2024-04-21
61,Jupiter,JUP,1556469393.81,1.1529,11529.0,154018331.08,-0.29,-2.68,4.33,2024-04-21
62,Algorand,ALGO,1523576361.1,0.1874,1874.0,39829153.94,-0.27,-2.19,4.37,2024-04-21
63,Ethena,ENA,1497408511.08,1.0508,10508.0,374961943.82,0.13,-3.1,-13.01,2024-04-21
64,Gala,GALA,1482967953.36,0.04886,4886.0,141868049.95,-0.1,-1.66,10.94,2024-04-21
65,Pendle,PENDLE,1408172516.01,5.8874,58874.0,71032213.5,-0.31,-6.24,-13.84,2024-04-21
66,Flow,FLOW,1390978372.5,0.9262,9262.0,38648658.85,-0.28,-1.79,-0.73,2024-04-21
67,Neo,NEO,1358335913.36,19.26,1926.0,233968083.11,-0.36,1.92,-7.88,2024-04-21
68,Bitcoin SV,BSV,1372801805.32,69.72,6972.0,40695164.69,-0.57,-1.86,-1.77,2024-04-21
69,Bonk,BONK,1359066825.04,2.085e-05,2085.0,437404811.7,-0.33,6.76,28.32,2024-04-21
70,Aave,AAVE,1347738241.53,91.02,9102.0,64791756.23,-0.09,-0.82,3.31,2024-04-21
71,Flare,FLR,1295858838.37,0.03356,3356.0,10044946.27,0.27,-1.66,-0.38,2024-04-21
72,Quant,QNT,1283342043.48,106.3,10630.0,13140093.92,0.17,-3.12,1.4,2024-04-21
73,BitTorrent (New),BTT,1272227967.95,1.31e-06,131.0,29803994.1,-0.2,-0.2,-1.52,2024-04-21
74,SingularityNET,AGIX,1256579344.84,0.9801,9801.0,108161413.29,-0.29,-1.98,11.0,2024-04-21
75,MultiversX,EGLD,1163807659.41,43.35,4335.0,18151619.54,-0.34,-2.52,5.23,2024-04-21
76,Ondo,ONDO,1127043733.76,0.811,811.0,193075388.54,-0.47,-1.63,-9.59,2024-04-21
77,Wormhole,W,1105158461.62,0.614,614.0,114347629.61,-0.07,-6.6,-13.72,2024-04-21
78,dYdX (Native),DYDX,1086833206.65,2.3389,23389.0,5742233.51,-0.29,-2.79,7.87,2024-04-21
