rank,name,symbol,market_cap,price,circulating_supply,volume_24h,%1h,%7h,%24h,date
57,Sui,SUI,1775090018.25,1.3698,13698,173849768.41,-0.46,-4.13,14.34,2024-04-21
58,Sei,SEI,1646949774.39,0.5882,05882,98617967.56,-0.06,-2.34,7.99,2024-04-21
59,FLOKI,FLOKI,1634452498.53,0.0001708,00001708,279138297.18,-1.10,2.79,13.43,2024-04-21
60,Beam,BEAM,1612562040.08,0.03045,003045,16659845.95,-0.60,-1.04,12.20,2024-04-21
61,Jupiter,JUP,1556469393.81,1.1529,11529,154018331.08,-0.29,-2.68,4.33,2024-04-21
62,Algorand,ALGO,1523576361.10,0.1874,01874,39829153.94,-0.27,-2.19,4.37,2024-04-21
63,Ethena,ENA,1497408511.08,1.0508,10508,374961943.82,0.13,-3.10,-13.01,2024-04-21
64,Gala,GALA,1482967953.36,0.04886,004886,141868049.95,-0.10,-1.66,10.94,2024-04-21
65,Pendle,PENDLE,1408172516.01,5.8874,58874,71032213.50,-0.31,-6.24,-13.84,2024-04-21
66,Flow,FLOW,1390978372.50,0.9262,09262,38648658.85,-0.28,-1.79,-0.73,2024-04-21
67,Neo,NEO,1358335913.36,19.26,1926,233968083.11,-0.36,1.92,-7.88,2024-04-21
68,Bitcoin SV,BSV,1372801805.32,69.72,6972,40695164.69,-0.57,-1.86,-1.77,2024-04-21
69,Bonk,BONK,1359066825.04,0.00002085,000002085,437404811.70,-0.33,6.76,28.32,2024-04-21
70,Aave,AAVE,1347738241.53,91.02,9102,64791756.23,-0.09,-0.82,3.31,2024-04-21
71,Flare,FLR,1295858838.37,0.03356,003356,10044946.27,0.27,-1.66,-0.38,2024-04-21
72,Quant,QNT,1283342043.48,106.30,10630,13140093.92,0.17,-3.12,1.40,2024-04-21
73,BitTorrent (New),BTT,1272227967.95,0.00000131,000000131,29803994.10,-0.20,-0.20,-1.52,2024-04-21
74,SingularityNET,AGIX,1256579344.84,0.9801,09801,108161413.29,-0.29,-1.98,11.00,2024-04-21
75,MultiversX,EGLD,1163807659.41,43.35,4335,18151619.54,-0.34,-2.52,5.23,2024-04-21
76,Ondo,ONDO,1127043733.76,0.811,0811,193075388.54,-0.47,-1.63,-9.59,2024-04-21
77,Wormhole,W,1105158461.62,0.614,0614,114347629.61,-0.07,-6.60,-13.72,2024-04-21
78,dYdX (Native),DYDX,1086833206.65,2.3389,23389,5742233.51,-0.29,-2.79,7.87,2024-04-21
79,Axie Infinity,AXS,1084356190.98,7.5604,75604,36851695.34,-0.39,-1.04,3.10,2024-04-21
80,Ronin,RON,1071255103.02,3.3958,33958,11884728.28,-0.12,-1.02,4.09,2024-04-21
81,The Sandbox,SAND,1068579262.54,0.4746,04746,74430367.89,-0.55,-1.70,6.66,2024-04-21
82,Worldcoin,WLD,1060221462.81,5.5361,55361,273390563.40,0.55,-1.59,7.60,2024-04-21
83,eCash,XEC,1061038716.51,0.00005388,000005388,32265716.16,-0.30,-1.59,-5.54,2024-04-21
84,Chiliz,CHZ,1031200525.24,0.116,0116,50156771.57,-0.72,-1.95,7.65,2024-04-21
85,ORDI,ORDI,1027248690.09,48.92,4892,174852404.03,-0.38,-4.57,2.17,2024-04-21
86,Tezos,XTZ,1019234689.03,1.0412,10412,25094283.54,-0.25,-3.61,-0.75,2024-04-21
87,Synthetix,SNX,1002230642.31,3.0577,30577,23439112.31,-0.48,-2.06,2.77,2024-04-21
88,JasmyCoin,JASMY,991750967.97,0.02012,002012,79099820.98,-0.07,1.99,2.84,2024-04-21
89,Pyth Network,PYTH,990621967.24,0.6604,06604,61400730.53,-0.43,-1.70,7.88,2024-04-21
90,Conflux,CFX,976033098.77,0.2476,02476,39946075.32,-0.43,-3.97,-1.04,2024-04-21
91,Starknet,STRK,955659255.78,1.3127,13127,83746402.93,-0.62,-2.69,-11.66,2024-04-21
92,Akash Network,AKT,948487519.60,4.0487,40487,3960223.32,-0.45,-2.21,5.68,2024-04-21
93,Gnosis,GNO,934516032.14,360.87,36087,18514005.99,-0.25,1.07,7.36,2024-04-21
94,KuCoin Token,KCS,932374818.88,9.6988,96988,1692163.52,-0.10,4.96,9.51,2024-04-21
95,Mina,MINA,923883860.58,0.8472,08472,21524718.06,-0.58,-2.68,5.97,2024-04-21
96,EOS,EOS,912315245.54,0.8119,08119,92310924.06,-0.31,-1.43,4.71,2024-04-21
97,Decentraland,MANA,883349379.03,0.4629,04629,44765369.17,-0.30,-1.62,4.34,2024-04-21
98,Nervos Network,CKB,871472569.10,0.0198,00198,72017015.71,-0.18,-11.13,-24.06,2024-04-21
99,AIOZ Network,AIOZ,811616458.25,0.7458,07458,5734420.39,-0.06,8.96,12.45,2024-04-21
100,Axelar,AXL,781798229.05,1.2298,12298,15422190.16,0.02,-3.72,9.22,2024-04-21
101,ApeCoin,APE,777686400.20,1.2857,12857,40497703.98,-0.17,-2.34,4.75,2024-04-21
102,Kava,KAVA,769047509.56,0.7102,07102,20190621.14,-0.20,-1.76,5.03,2024-04-21
103,IOTA,IOTA,767458141.68,0.2376,02376,14403064.51,-0.60,-2.48,-1.10,2024-04-21
104,PancakeSwap,CAKE,727235482.54,2.9129,29129,34330469.48,-0.42,-0.48,3.41,2024-04-21
105,Klaytn,KLAY,723605484.08,0.1996,01996,11878301.61,-0.22,-0.40,4.57,2024-04-21
106,SATS,1000SATS,713700928.36,0.0003399,00003399,74498671.83,-0.37,-9.96,9.35,2024-04-21
107,USDD,USDD,714561837.82,0.9852,09852,6731601.92,0.04,0.56,-1.01,2024-04-21
108,Nexo,NEXO,708480209.95,1.2651,12651,3537567.55,-0.03,-1.40,-3.42,2024-04-21
109,Oasis Network,ROSE,687884231.80,0.1025,01025,18078708.15,-0.27,-3.01,7.85,2024-04-21
110,Echelon Prime,PRIME,685934433.19,19.17,1917,5098539.05,-0.27,-7.25,-11.42,2024-04-21
111,GateToken,GT,677376813.38,7.0214,70214,5352851.73,-0.36,-1.26,-2.88,2024-04-21
112,dYdX (ethDYDX),ETHDYDX,647618663.22,2.3300,23300,27734746.05,-0.40,-3.03,7.49,2024-04-21
113,Blur,BLUR,646338512.78,0.4156,04156,35814378.83,-0.14,-2.74,-1.36,2024-04-21
114,Bitcoin Gold,BTG,644473012.65,36.80,3680,6235969.21,-0.58,-2.39,-4.31,2024-04-21
115,Helium,HNT,637485088.72,3.9626,39626,11607536.32,-0.24,-5.03,-12.77,2024-04-21
116,Astar,ASTR,633015352.11,0.1124,01124,17271213.58,-0.26,0.31,8.54,2024-04-21
117,Theta Fuel,TFUEL,636936151.03,0.09766,009766,40450292.76,0.55,2.75,12.11,2024-04-21
118,Osmosis,OSMO,632740982.91,0.9645,09645,16535296.57,-0.16,-1.08,-0.13,2024-04-21
119,Terra Classic,LUNC,629161155.21,0.0001081,00001081,26164033.84,-0.17,-1.70,5.02,2024-04-21
120,Ribbon Finance,RBN,627316963.08,1.1680,11680,6902511.94,-0.19,5.76,-4.98,2024-04-21
121,BOOK OF MEME,BOME,589466602.04,0.01068,001068,250203346.89,0.56,-3.02,13.06,2024-04-21
122,Dymension,DYM,585690297.03,4.0116,40116,10980353.88,-0.52,-3.19,5.61,2024-04-21
123,Tether Gold,XAUt,588593174.53,2387.57,238757,3364578.98,0.09,-0.27,-0.03,2024-04-21
124,Ocean Protocol,OCEAN,575973188.39,1.0134,10134,34190006.13,-0.52,-0.60,12.09,2024-04-21
125,WOO,WOO,574097314.50,0.3095,03095,10190909.08,-0.67,-1.75,3.51,2024-04-21
126,Radix,XRD,564590989.39,0.05414,005414,2393778.19,-0.25,-1.82,-8.04,2024-04-21
127,IoTeX,IOTX,560373288.56,0.05935,005935,15737133.91,-0.48,0.18,9.88,2024-04-21
128,MANTRA,OM,551543234.15,0.6946,06946,26871866.73,0.29,-4.76,-4.08,2024-04-21
129,WEMIX,WEMIX,548535444.23,1.5379,15379,2408652.97,0.01,0.66,2.51,2024-04-21
130,Curve DAO Token,CRV,539384220.60,0.4532,04532,37201771.43,-0.39,-1.97,0.21,2024-04-21
131,XDC Network,XDC,540534422.98,0.03886,003886,5128727.04,0.23,-2.00,3.42,2024-04-21
132,SuperVerse,SUPER,523574352.37,1.0734,10734,10169493.36,-0.24,-2.85,3.73,2024-04-21
133,SKALE,SKL,514827389.94,0.09643,009643,30255938.27,-0.51,-1.42,3.13,2024-04-21
134,TrueUSD,TUSD,510016025.82,1.0006,10006,37429126.75,0.08,-0.07,0.09,2024-04-21
135,DeXe,DEXE,502768712.78,13.77,1377,4102649.81,0.16,-0.92,9.11,2024-04-21
136,1inch Network,1INCH,495772461.50,0.4284,04284,22176101.63,-0.29,-3.15,2.42,2024-04-21
137,Livepeer,LPT,486270337.79,15.26,1526,42982063.72,0.23,-4.73,26.08,2024-04-21
138,Manta Network,MANTA,483998155.60,1.9283,19283,34856375.65,-0.47,-2.80,-8.60,2024-04-21
139,cat in a dogs world,MEW,492028064.51,0.005535,0005535,100410608.67,0.49,13.02,29.48,2024-04-21
140,GMT,GMT,483184291.49,0.25,025,35234018.28,-0.40,-2.27,-4.50,2024-04-21
141,Ankr,ANKR,482034056.18,0.0482,00482,30292296.74,-0.37,-1.25,10.12,2024-04-21
142,Compound,COMP,476126909.91,58.70,5870,21264082.29,-0.39,-0.49,6.72,2024-04-21
143,Trust Wallet Token,TWT,474167309.23,1.1380,11380,11764461.31,-0.16,0.00,3.57,2024-04-21
144,Enjin Coin,ENJ,470668615.28,0.3411,03411,17105270.78,-0.22,-3.55,1.40,2024-04-21
145,Rocket Pool,RPL,471313396.14,23.23,2323,4274763.67,-0.19,0.09,8.04,2024-04-21
146,Terra,LUNA,467284112.40,0.6502,06502,32147027.46,-0.32,-2.51,3.88,2024-04-21
147,Ethereum Name Service,ENS,466112735.26,14.95,1495,19264148.15,-0.06,-2.72,6.58,2024-04-21
148,0x Protocol,ZRX,466316223.18,0.5502,05502,41746179.89,0.08,-0.26,9.63,2024-04-21
149,FTX Token,FTT,468378548.82,1.4241,14241,14187896.75,-0.01,2.49,9.54,2024-04-21
150,Jito,JTO,462317904.69,3.8279,38279,170269762.96,-0.05,1.74,26.60,2024-04-21
151,APENFT,NFT,465200548.91,0.00000047,000000047,18145003.46,-0.23,-0.21,-0.82,2024-04-21
152,ether.fi,ETHFI,460059396.56,3.9936,39936,108545593.17,-0.41,-3.20,-5.58,2024-04-21
153,Altlayer,ALT,459957751.28,0.4181,04181,39332934.08,-0.30,-3.67,-4.10,2024-04-21
154,MX TOKEN,MX,460105989.06,4.6774,46774,24164726.42,-3.55,-9.89,-11.10,2024-04-21
155,Galxe,GAL,451253477.76,4.2852,42852,22200382.91,0.30,4.13,11.59,2024-04-21
156,Celo,CELO,451363960.13,0.8455,08455,17048036.73,-0.32,-2.31,4.12,2024-04-21
157,Zilliqa,ZIL,449160023.12,0.02586,002586,18771090.12,-0.55,-2.04,2.82,2024-04-21
158,Siacoin,SC,452009448.62,0.00793,000793,42988826.16,0.34,6.82,6.99,2024-04-21
159,Raydium,RAY,443628594.27,1.6884,16884,16479717.13,-0.25,0.17,10.31,2024-04-21
160,Qtum,QTUM,440227696.59,4.2024,42024,61824080.35,-0.73,-0.21,-1.01,2024-04-21
161,Holo,HOT,441075719.33,0.002546,0002546,12469217.38,-0.70,-0.91,9.06,2024-04-21
162,Arkham,ARKM,440382884.32,2.1524,21524,151870917.56,0.43,6.20,36.11,2024-04-21
163,EthereumPoW,ETHW,439125486.76,4.0728,40728,23006675.03,-0.46,-5.33,7.45,2024-04-21
164,PAX Gold,PAXG,435950952.61,2376.44,237644,8187864.80,-0.15,-0.57,-0.77,2024-04-21
165,Ravencoin,RVN,434415512.21,0.03158,003158,46856927.25,-0.51,-3.34,0.34,2024-04-21
166,SPACE ID,ID,427542485.16,0.8294,08294,98627930.14,-0.52,-0.54,16.68,2024-04-21
167,aelf,ELF,418262805.16,0.5757,05757,7494397.68,-0.01,-0.61,0.48,2024-04-21
168,Polymesh,POLYX,404586737.52,0.4797,04797,69799444.24,-0.69,1.83,1.99,2024-04-21
169,Golem,GLM,404678270.31,0.4047,04047,12592671.16,-0.19,0.09,4.01,2024-04-21
170,ssv.network,SSV,404734442.27,40.47,4047,15595072.22,-0.15,-2.21,3.70,2024-04-21
171,OriginTrail,TRAC,396909247.92,0.9792,09792,2543696.29,0.01,0.65,0.23,2024-04-21
172,Frax Share,FXS,395968227.71,5.0095,50095,12841649.72,-0.63,-4.51,-2.44,2024-04-21
173,Biconomy,BICO,393861604.90,0.5449,05449,14352121.36,-0.42,-0.50,-1.78,2024-04-21
174,Basic Attention Token,BAT,389279624.90,0.2612,02612,13048644.33,-0.43,-2.08,0.75,2024-04-21
175,Saga,SAGA,387924637.21,4.3103,43103,121288949.55,0.04,-6.80,-2.81,2024-04-21
176,Gas,GAS,377348450.86,5.5815,55815,27996254.46,-0.46,-0.69,3.58,2024-04-21
177,Casper,CSPR,378854074.94,0.03169,003169,6017635.30,0.04,-1.66,1.10,2024-04-21
178,Illuvium,ILV,374565849.41,99.42,9942,7417823.43,-0.09,-0.99,0.39,2024-04-21
179,Zcash,ZEC,370873688.26,22.71,2271,47646901.66,-0.28,-2.23,3.44,2024-04-21
180,Metis,METIS,369502156.33,65.60,6560,14657221.23,-0.14,-2.62,8.53,2024-04-21
181,Loopring,LRC,365528475.50,0.2674,02674,12259923.82,-0.23,-2.35,-0.60,2024-04-21
182,Threshold,T,363942975.15,0.03772,003772,58801172.80,0.03,3.06,6.99,2024-04-21
183,SafePal,SFP,362859547.57,0.7846,07846,7705621.40,-0.35,-6.32,-3.50,2024-04-21
184,Dash,DASH,360554953.95,30.66,3066,40103098.00,-0.49,-2.59,1.73,2024-04-21
185,Centrifuge,CFG,361762515.66,0.7363,07363,1811511.40,-0.09,-4.78,-10.98,2024-04-21
186,Pixels,PIXEL,359370103.50,0.4661,04661,42896071.97,-0.34,-0.38,2.84,2024-04-21
187,Ontology,ONT,350325617.34,0.4003,04003,247829192.20,-1.32,8.86,28.54,2024-04-21
188,Decred,DCR,358121551.38,22.37,2237,3059424.53,-0.49,-0.96,9.72,2024-04-21
189,NEM,XEM,358102793.41,0.03979,003979,9694547.92,-0.28,-0.87,2.79,2024-04-21
190,Aragon,ANT,354798810.96,8.2168,82168,4868289.46,-0.27,-2.06,2.77,2024-04-21
191,Yield Guild Games,YGG,348688212.61,0.9638,09638,63501762.10,-0.24,1.43,7.42,2024-04-21
192,Memecoin,MEME,342767926.14,0.02868,002868,52107994.62,-0.23,-1.14,2.69,2024-04-21
193,Mask Network,MASK,342260176.00,3.5643,35643,48367436.88,-0.46,-2.11,2.56,2024-04-21
194,ZetaChain,ZETA,335945836.90,1.3133,13133,21696373.00,-0.58,-2.88,3.94,2024-04-21
195,Reserve Rights,RSR,333668453.48,0.006594,0006594,17639560.04,-0.53,-1.12,3.84,2024-04-21
196,Flux,FLUX,332720771.40,0.9628,09628,6542173.45,0.02,-0.26,2.72,2024-04-21
197,Amp,AMP,329439009.53,0.007801,0007801,18505213.58,0.38,1.17,10.96,2024-04-21
198,Chia,XCH,322974703.39,31.40,3140,5595947.94,-0.05,-1.61,-0.60,2024-04-21
199,JUST,JST,300522437.35,0.03376,003376,25121600.79,-0.23,-0.20,-4.43,2024-04-21
200,Harmony,ONE,301568052.84,0.02168,002168,7774400.89,-0.22,-2.66,1.55,2024-04-21
201,Lido Staked ETH,stETH,29349792102.40,3147.08,314708,71177712.33,-0.32,-0.19,-0.08,2024-04-21
202,Wrapped Bitcoin,WBTC,10093241551.92,64956.87,6495687,131377626.40,-0.08,0.07,-1.10,2024-04-21
203,Wrapped TRON,WTRX,9737453379.90,0.1112,01112,1127210.02,0.02,-0.09,-0.98,2024-04-21
204,Bitcoin BEP2,BTCB,3508617908.08,64928.51,6492851,22810476.38,0.02,0.10,-1.11,2024-04-21
205,Wrapped HBAR,WHBAR,3175527551.72,0.08885,008885,--,-0.38,2.63,6.22,2024-04-21
206,Wrapped Beacon ETH,WBETH,2924879763.26,3262.90,326290,2640065.74,-0.19,-0.25,0.08,2024-04-21
207,Wrapped eETH,weETH,2409531707.56,3267.06,326706,13478019.68,-0.10,<0.01,-0.02,2024-04-21
208,Ethena USDe,USDe,2362607263.30,0.9999,09999,90828048.71,0.01,-0.03,<0.01,2024-04-21
209,Rocket Pool ETH,RETH,1806537835.79,3479.70,347970,4163021.30,0.03,0.09,-0.07,2024-04-21
210,Venus ETH,vETH,1682222798.49,827.05,82705,--,0.01,62.90,1047.96,2024-04-21
211,Zeebu,ZBU,1596880324.72,4.8433,48433,41630383.10,-0.15,0.32,0.22,2024-04-21
212,Wrapped BNB,WBNB,986528388.46,579.50,57950,163808799.27,-0.07,1.50,2.11,2024-04-21
213,Marinade Staked SOL,MSOL,909391952.07,176.12,17612,16120827.48,-0.39,-1.23,-1.41,2024-04-21
214,Cheelee,CHEEL,885003944.11,16.44,1644,5505187.17,0.10,0.18,2.50,2024-04-21
215,Coinbase Wrapped Staked ETH,cbETH,655828679.72,3351.69,335169,2393155.82,-0.18,-0.21,-0.23,2024-04-21
216,Venus BNB,vBNB,653901864.27,7.7544,77544,--,0.00,-28.96,-46.18,2024-04-21
217,Frax,FRAX,648616102.67,0.9987,09987,30779191.79,0.01,0.02,0.13,2024-04-21
218,Fasttoken,FTN,569064764.04,1.8667,18667,8650209.76,-0.07,4.55,4.24,2024-04-21
219,Brett,BRETT,550950219.90,0.0644,00644,15287794.54,-3.31,-7.89,-3.33,2024-04-21
220,Degen,DEGEN,479718065.14,0.03383,003383,50683966.82,0.19,-7.35,18.09,2024-04-21
221,Rollbit Coin,RLB,427311789.11,0.1296,01296,1664813.95,-0.59,0.84,26.35,2024-04-21
222,Orbler,ORBR,402740994.70,0.3966,03966,218798.46,0.72,-6.17,-1.63,2024-04-21
223,PUPS (Ordinals),PUPS,390686690.52,50.28,5028,4503318.00,3.06,-5.54,-32.31,2024-04-21
224,Wrapped Kava,WKAVA,351415671.06,0.7061,07061,--,-0.04,-1.56,7.91,2024-04-21
225,Propy,PRO,323519428.00,3.2352,32352,8760929.27,0.90,-2.62,-2.79,2024-04-21
226,PAAL AI,PAAL,307802560.49,0.3801,03801,5264369.76,-0.08,-5.49,-19.27,2024-04-21
227,HEX,HEX,303968558.34,0.001753,0001753,332791.84,-0.68,-5.69,5.22,2024-04-21
228,Pocket Network,POKT,295213262.07,0.1801,01801,2085721.24,0.44,-1.49,-4.80,2024-04-21
229,Waves,WAVES,293773772.76,2.5681,25681,46637358.06,-0.25,-2.62,1.50,2024-04-21
230,VeThor Token,VTHO,293601857.49,0.003906,0003906,5330548.54,-0.01,3.05,6.18,2024-04-21
231,Telcoin,TEL,286088467.56,0.003264,0003264,850487.49,-0.22,-4.79,-0.84,2024-04-21
232,Moonbeam,GLMR,282685677.65,0.3296,03296,5728437.27,-0.37,-1.71,4.63,2024-04-21
233,GMX,GMX,281152920.78,29.72,2972,15311743.23,-0.68,-1.45,10.29,2024-04-21
234,Ontology Gas,ONG,275695949.48,0.7318,07318,420447039.65,-1.76,8.17,73.65,2024-04-21
235,Kusama,KSM,276103759.40,32.60,3260,11789870.69,-0.24,-2.71,2.86,2024-04-21
236,Kujira,KUJI,276573107.51,2.2605,22605,942100.30,0.09,1.36,23.81,2024-04-21
237,Popcat (SOL),POPCAT,279254128.42,0.285,0285,72631866.19,2.63,36.15,80.73,2024-04-21
238,Omni Network,OMNI,269221098.82,25.91,2591,92977419.85,-0.68,-10.43,0.00,2024-04-21
239,Baby Doge Coin,BabyDoge,266880697.14,--,--,4049772.70,-0.39,-0.88,10.09,2024-04-21
240,Alchemy Pay,ACH,263274024.93,0.03476,003476,26858241.07,-1.09,-0.33,26.52,2024-04-21
241,Chromia,CHR,258265464.31,0.3179,03179,8852979.05,-0.39,-3.08,-6.36,2024-04-21
242,Convex Finance,CVX,256316498.92,2.6951,26951,4889531.47,-0.28,-3.11,0.00,2024-04-21
243,BinaryX,BNX,254584967.21,0.7084,07084,11169970.17,0.04,-2.79,-3.25,2024-04-21
244,Creditcoin,CTC,251628486.26,0.7584,07584,14452646.92,-1.09,-0.35,2.70,2024-04-21
245,Kadena,KDA,248865732.51,0.9181,09181,7936009.03,-0.52,-4.66,-3.99,2024-04-21
246,WAX,WAXP,250421480.46,0.07289,007289,41439624.55,-0.85,1.80,6.24,2024-04-21
247,Beldex,BDX,247358655.93,0.03838,003838,1873049.75,0.63,-1.87,3.31,2024-04-21
248,Decentralized Social,DESO,243910684.83,27.45,2745,9484146.40,0.02,-3.81,-1.04,2024-04-21
249,SushiSwap,SUSHI,241100772.29,1.0211,10211,24869585.58,-0.38,-3.10,1.68,2024-04-21
250,ICON,ICX,239591169.72,0.2419,02419,6249535.36,-0.43,-2.15,1.58,2024-04-21
251,Wilder World,WILD,240755323.85,0.9121,09121,899592.61,-0.22,-1.67,-5.12,2024-04-21
252,yearn.finance,YFI,237930188.99,7129.50,712950,16177504.03,-0.27,-0.64,-0.39,2024-04-21
253,0x0.ai,0x0,236794648.81,0.2726,02726,852647.48,-0.55,-4.24,-11.27,2024-04-21
254,Lisk,LSK,237212692.24,1.8403,18403,32800939.69,2.11,4.21,24.82,2024-04-21
255,Audius,AUDIO,232859133.15,0.1924,01924,4279120.43,-0.55,-1.88,2.19,2024-04-21
256,LCX,LCX,232748860.92,0.3017,03017,1178754.30,-0.71,-3.44,-6.90,2024-04-21
257,Arcblock,ABT,229823052.42,2.3319,23319,1111478.87,-0.95,2.37,-0.56,2024-04-21
